tconst,primaryTitle,startYear,averageRating,numVotes
tt1125849,The Wrestler,2008,7.9,331830
tt0181875,Almost Famous,2000,7.9,315984
tt0118749,Boogie Nights,1997,7.9,307666
tt0432283,Fantastic Mr. Fox,2009,7.9,307613
tt0190332,"Crouching Tiger, Hidden Dragon",2000,7.9,296027
tt0075686,Annie Hall,1977,7.9,292019
tt14849194,The Holdovers,2023,7.9,271252
tt0108399,True Romance,1993,7.9,261909
tt0058461,A Fistful of Dollars,1964,7.9,254883
tt0106519,Carlito's Way,1993,7.9,249199
tt37287335,Obsession,2025,7.9,234182
tt0080455,The Blues Brothers,1980,7.9,230545
tt3915174,Puss in Boots: The Last Wish,2022,7.9,227996
tt2543472,Wonder,2017,7.9,197943
tt0299977,Hero,2002,7.9,194781
tt2209418,Before Midnight,2013,7.9,187078
tt0085334,A Christmas Story,1983,7.9,179766
tt0113568,Ghost in the Shell,1995,7.9,175161
tt0033870,The Maltese Falcon,1941,7.9,174720
tt0040746,Rope,1948,7.9,165730
tt0088258,This Is Spinal Tap,1984,7.9,160937
tt0310793,Bowling for Columbine,2002,7.9,152450
tt0054331,Spartacus,1960,7.9,151619
tt0044079,Strangers on a Train,1951,7.9,148444
tt2265171,The Raid 2,2014,7.9,139800
tt0074119,All the President's Men,1976,7.9,138462
tt0097216,Do the Right Thing,1989,7.9,125255
tt0168629,Dancer in the Dark,2000,7.9,124547
tt1188996,My Name Is Khan,2010,7.9,123645
tt0287467,Talk to Her,2002,7.9,120834
tt0044081,A Streetcar Named Desire,1951,7.9,119131
tt0044706,High Noon,1952,7.9,116877
tt0052311,Touch of Evil,1958,7.9,115103
tt0066206,Patton,1970,7.9,113577
tt0038787,Notorious,1946,7.9,112954
tt0109424,Chungking Express,1994,7.9,112420
tt1602620,Amour,2012,7.9,110930
tt27503384,Perfect Days,2023,7.9,108385
tt3544112,Sing Street,2016,7.9,108353
tt0049406,The Killing,1956,7.9,106243
tt0069293,Solaris,1972,7.9,104560
