tconst,primaryTitle,startYear,averageRating,numVotes,qid,pagerank,imdb_rank,pagerank_rank
tt7838252,K.G.F: Chapter 1,2018,8.1,112071,Q21646605,0.001055865378322,274.0,346.0
tt0032551,The Grapes of Wrath,1940,8.1,107241,Q676039,0.0029678593263594,275.0,109.0
tt0017925,The General,1926,8.1,105476,Q850159,0.0010571653008326,276.0,345.0
tt2082197,Barfi!,2012,8.1,94334,Q2558109,0.0020040460640339,277.0,203.0
tt0871510,Chak De! India,2007,8.1,92297,Q1029548,0.0027170909421481,278.0,129.0
tt0056217,The Man Who Shot Liberty Valance,1962,8.1,89075,Q555687,0.0005762070171211,279.0,449.0
tt7775622,Free Solo,2018,8.1,87937,Q58814632,0.0018015881925557,280.0,238.0
tt1280558,A Wednesday,2008,8.1,86292,Q2151097,0.0008310109038317,281.0,392.0
tt0046438,Tokyo Story,1953,8.1,78208,Q26060,0.0009215351422347,282.0,369.0
tt0169858,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,77770,Q1151814,0.000801303404408,283.0,395.0
tt2545118,Blackfish,2013,8.1,76757,Q4922844,0.0011791717260644,284.0,330.0
tt0036868,The Best Years of Our Lives,1946,8.1,76599,Q645094,0.0038665461951888,285.0,56.0
tt0058946,The Battle of Algiers,1966,8.1,76306,Q784812,0.0009688946703224,286.0,360.0
tt0116231,The Bandit,1996,8.1,75619,Q635848,0.000976412303107,287.0,358.0
tt0046268,The Wages of Fear,1953,8.1,73883,Q465773,0.0037423318570679,288.0,63.0
tt0046911,Diabolique,1955,8.1,73573,Q739046,0.0006661593479938,289.0,426.0
tt0020629,All Quiet on the Western Front,1930,8.1,72330,Q272599,0.0020737261756428,290.0,193.0
tt12888462,My Octopus Teacher,2020,8.1,71975,Q99372651,0.0019916380859228,291.0,206.0
